p,nPerThread,repeat,timeNs,efficiency
1,2000000,1,68041800,
1,2000000,2,64746900,
1,2000000,3,66696400,
1,2000000,4,74909200,
1,2000000,5,69537000,
1,2000000,mean,6.878626E7,1.0
2,2000000,1,69555400,
2,2000000,2,77356100,
2,2000000,3,72531400,
2,2000000,4,69913100,
2,2000000,5,78196500,
2,2000000,mean,7.35105E7,0.9357338067350922
4,2000000,1,75970000,
4,2000000,2,79787800,
4,2000000,3,87019500,
4,2000000,4,76366100,
4,2000000,5,81848300,
4,2000000,mean,8.019834E7,0.8577017928301259
8,2000000,1,105347500,
8,2000000,2,98017400,
8,2000000,3,114844100,
8,2000000,4,101244900,
8,2000000,5,107223800,
8,2000000,mean,1.0533554E8,0.6530204335592716
12,2000000,1,115496400,
12,2000000,2,124444300,
12,2000000,3,119234800,
12,2000000,4,125328300,
12,2000000,5,121885000,
12,2000000,mean,1.2127776E8,0.5671795059539358
16,2000000,1,130084300,
16,2000000,2,132973100,
16,2000000,3,129869500,
16,2000000,4,140257000,
16,2000000,5,137323700,
16,2000000,mean,1.3410152E8,0.5129416877601387
